Thu Dec 14 11:24:07 2017 for USER 2 and pattern [2, 3, 8] the observed label,value are 1 1Thu Dec 14 11:24:24 2017 for USER 2 and pattern [1, 11, 4] the observed label,value are 3 0Thu Dec 14 11:25:14 2017 for USER 2 and pattern [7, 8, 8] the observed label,value are 2 0Thu Dec 14 12:11:04 2017 for USER 1 and pattern [7, 7, 10] the observed label,value are 1 0 
Thu Dec 14 12:13:08 2017 for USER 1 and pattern [4, 4, 4] the observed label,value are 2 2 
Thu Dec 14 12:13:26 2017 for USER 1 and pattern [6, 7, 8] the observed label,value are 0 3 
Thu Dec 14 12:13:49 2017 for USER 1 and pattern [0, 0, 3] the observed label,value are 3 3 
Thu Dec 14 12:14:07 2017 for USER 1 and pattern [1, 1, 8] the observed label,value are 2 4 
Thu Dec 14 12:14:24 2017 for USER 1 and pattern [7, 7, 10] the observed label,value are 0 3 
Thu Dec 14 12:14:35 2017 for USER 1 and pattern [6, 6, 6] the observed label,value are 1 3 
Thu Dec 14 12:14:53 2017 for USER 1 and pattern [3, 6, 7] the observed label,value are 3 4 
Thu Dec 14 12:15:13 2017 for USER 1 and pattern [0, 2, 1] the observed label,value are 0 2 
Thu Dec 14 12:15:37 2017 for USER 1 and pattern [1, 1, 4] the observed label,value are 2 2 
Thu Dec 14 12:15:51 2017 for USER 1 and pattern [3, 3, 3] the observed label,value are 3 3 
Thu Dec 14 12:17:29 2017 for USER 1 and pattern [5, 9, 8] the observed label,value are 0 2 
Thu Dec 14 12:17:49 2017 for USER 1 and pattern [2, 6, 11] the observed label,value are 2 3 
Thu Dec 14 12:18:17 2017 for USER 1 and pattern [3, 10, 7] the observed label,value are 0 1 
Thu Dec 14 12:18:34 2017 for USER 1 and pattern [2, 9, 8] the observed label,value are 2 3 
Thu Dec 14 12:18:51 2017 for USER 1 and pattern [3, 10, 7] the observed label,value are 2 3 
Thu Dec 14 12:19:06 2017 for USER 1 and pattern [2, 9, 8] the observed label,value are 1 1 
Thu Dec 14 12:19:27 2017 for USER 1 and pattern [5, 11, 11] the observed label,value are 0 2 
Thu Dec 14 12:19:42 2017 for USER 1 and pattern [1, 4, 3] the observed label,value are 2 4 
Thu Dec 14 12:19:58 2017 for USER 1 and pattern [1, 4, 3] the observed label,value are 2 2 
Thu Dec 14 12:20:55 2017 for USER 1 and pattern [8, 10, 11] the observed label,value are 3 3 
Thu Dec 14 12:21:10 2017 for USER 1 and pattern [5, 11, 11] the observed label,value are 0 3 
Thu Dec 14 12:21:29 2017 for USER 1 and pattern [5, 7, 9] the observed label,value are 0 1 
Thu Dec 14 12:21:45 2017 for USER 1 and pattern [8, 10, 11] the observed label,value are 2 4 
Thu Dec 14 12:22:13 2017 for USER 1 and pattern [0, 6, 10] the observed label,value are 1 2 
Thu Dec 14 12:22:33 2017 for USER 1 and pattern [2, 10, 7] the observed label,value are 2 3 
Thu Dec 14 12:22:45 2017 for USER 1 and pattern [3, 10, 7] the observed label,value are 0 3 
Thu Dec 14 12:22:58 2017 for USER 1 and pattern [3, 10, 9] the observed label,value are 2 4 
Thu Dec 14 12:23:13 2017 for USER 1 and pattern [3, 10, 9] the observed label,value are 2 4 
Thu Dec 14 12:23:38 2017 for USER 1 and pattern [3, 5, 5] the observed label,value are 2 3 
Thu Dec 14 12:24:13 2017 for USER 1 and pattern [3, 11, 8] the observed label,value are 2 2 
Thu Dec 14 12:24:29 2017 for USER 1 and pattern [0, 6, 10] the observed label,value are 1 4 
Thu Dec 14 12:24:46 2017 for USER 1 and pattern [5, 9, 8] the observed label,value are 1 2 
Thu Dec 14 12:25:02 2017 for USER 1 and pattern [8, 10, 11] the observed label,value are 0 3 
Thu Dec 14 12:25:16 2017 for USER 1 and pattern [2, 6, 11] the observed label,value are 1 4 
Thu Dec 14 12:25:30 2017 for USER 1 and pattern [5, 9, 8] the observed label,value are 3 2 
Thu Dec 14 12:26:02 2017 for USER 1 and pattern [8, 10, 11] the observed label,value are 0 2 
Thu Dec 14 12:26:22 2017 for USER 1 and pattern [5, 11, 11] the observed label,value are 2 3 
Thu Dec 14 12:26:37 2017 for USER 1 and pattern [1, 4, 3] the observed label,value are 2 1 
Thu Dec 14 12:42:21 2017 for USER 2 and pattern [3, 6, 7] the observed label,value are 2 1 
Thu Dec 14 12:42:46 2017 for USER 2 and pattern [1, 1, 4] the observed label,value are 2 0 
Thu Dec 14 12:43:15 2017 for USER 2 and pattern [7, 7, 10] the observed label,value are 2 2 
Thu Dec 14 12:43:40 2017 for USER 2 and pattern [0, 2, 1] the observed label,value are 0 1 
Thu Dec 14 12:43:56 2017 for USER 2 and pattern [6, 6, 6] the observed label,value are 1 1 
Thu Dec 14 12:44:19 2017 for USER 2 and pattern [0, 0, 3] the observed label,value are 0 3 
Thu Dec 14 12:44:32 2017 for USER 2 and pattern [6, 7, 8] the observed label,value are 0 3 
Thu Dec 14 12:44:52 2017 for USER 2 and pattern [4, 4, 4] the observed label,value are 1 2 
Thu Dec 14 12:45:05 2017 for USER 2 and pattern [3, 3, 3] the observed label,value are 2 3 
Thu Dec 14 12:45:26 2017 for USER 2 and pattern [1, 1, 8] the observed label,value are 2 4 
Thu Dec 14 12:46:46 2017 for USER 2 and pattern [3, 10, 7] the observed label,value are 0 1 
Thu Dec 14 12:47:08 2017 for USER 2 and pattern [7, 11, 9] the observed label,value are 1 2 
Thu Dec 14 12:47:18 2017 for USER 2 and pattern [2, 10, 7] the observed label,value are 2 1 
Thu Dec 14 12:47:53 2017 for USER 2 and pattern [2, 9, 8] the observed label,value are 2 2 
Thu Dec 14 12:48:05 2017 for USER 2 and pattern [3, 10, 7] the observed label,value are 2 3 
Thu Dec 14 12:48:24 2017 for USER 2 and pattern [3, 5, 5] the observed label,value are 0 3 
Thu Dec 14 12:48:45 2017 for USER 2 and pattern [4, 8, 6] the observed label,value are 1 4 
Thu Dec 14 12:49:14 2017 for USER 2 and pattern [3, 11, 8] the observed label,value are 2 2 
Thu Dec 14 12:49:40 2017 for USER 2 and pattern [4, 10, 9] the observed label,value are 1 3 
Thu Dec 14 12:50:32 2017 for USER 2 and pattern [2, 6, 11] the observed label,value are 1 2 
Thu Dec 14 12:51:06 2017 for USER 2 and pattern [3, 10, 7] the observed label,value are 0 1 
Thu Dec 14 12:52:04 2017 for USER 2 and pattern [5, 9, 8] the observed label,value are 2 2 
Thu Dec 14 12:52:15 2017 for USER 2 and pattern [2, 6, 11] the observed label,value are 2 3 
Thu Dec 14 12:52:55 2017 for USER 2 and pattern [4, 10, 9] the observed label,value are 2 1 
Thu Dec 14 12:53:36 2017 for USER 2 and pattern [4, 10, 9] the observed label,value are 1 2 
Thu Dec 14 12:54:22 2017 for USER 2 and pattern [4, 10, 9] the observed label,value are 2 1 
Thu Dec 14 12:55:03 2017 for USER 2 and pattern [3, 10, 9] the observed label,value are 0 2 
Thu Dec 14 12:55:31 2017 for USER 2 and pattern [4, 10, 9] the observed label,value are 1 2 
Thu Dec 14 12:55:59 2017 for USER 2 and pattern [5, 11, 11] the observed label,value are 2 2 
Thu Dec 14 12:56:19 2017 for USER 2 and pattern [3, 10, 9] the observed label,value are 0 2 
Thu Dec 14 12:56:56 2017 for USER 2 and pattern [1, 5, 8] the observed label,value are 0 2 
Thu Dec 14 13:37:23 2017 for USER 3 and pattern [3, 5, 5] the observed label,value are 0 3 
Thu Dec 14 13:37:36 2017 for USER 3 and pattern [1, 5, 8] the observed label,value are 0 2 
Thu Dec 14 13:37:58 2017 for USER 3 and pattern [1, 5, 8] the observed label,value are 2 2 
Thu Dec 14 13:38:12 2017 for USER 3 and pattern [1, 4, 3] the observed label,value are 1 0 
Thu Dec 14 13:38:31 2017 for USER 3 and pattern [3, 10, 9] the observed label,value are 1 2 
Thu Dec 14 13:38:48 2017 for USER 3 and pattern [7, 11, 9] the observed label,value are 1 2 
Thu Dec 14 13:39:13 2017 for USER 3 and pattern [0, 7, 6] the observed label,value are 2 0 
Thu Dec 14 13:39:29 2017 for USER 3 and pattern [5, 9, 8] the observed label,value are 0 2 
Thu Dec 14 13:39:36 2017 for USER 3 and pattern [7, 11, 9] the observed label,value are 0 3 
Thu Dec 14 13:40:15 2017 for USER 3 and pattern [3, 10, 9] the observed label,value are 2 2 
Thu Dec 14 13:40:30 2017 for USER 3 and pattern [0, 7, 6] the observed label,value are 0 1 
Thu Dec 14 13:40:41 2017 for USER 3 and pattern [3, 11, 8] the observed label,value are 1 2 
Thu Dec 14 14:19:53 2017 for USER 4 and pattern [3, 11, 8] the observed label,value are 0 3 
Thu Dec 14 14:20:02 2017 for USER 4 and pattern [4, 10, 9] the observed label,value are 0 3 
Thu Dec 14 14:20:12 2017 for USER 4 and pattern [5, 11, 11] the observed label,value are 0 3 
Thu Dec 14 14:20:38 2017 for USER 4 and pattern [5, 9, 8] the observed label,value are 0 3 
Thu Dec 14 14:20:51 2017 for USER 4 and pattern [1, 4, 3] the observed label,value are 0 3 
Thu Dec 14 14:21:02 2017 for USER 4 and pattern [5, 11, 11] the observed label,value are 0 3 
Thu Dec 14 14:21:24 2017 for USER 4 and pattern [3, 11, 8] the observed label,value are 1 3 
Thu Dec 14 14:21:33 2017 for USER 4 and pattern [1, 4, 3] the observed label,value are 2 3 
Thu Dec 14 14:21:40 2017 for USER 4 and pattern [2, 6, 11] the observed label,value are 1 3 
